candidate_id,rank,score,reasoning
CAND_0043381,23,0.7376,"3.6yr AI Research Engineer at PharmEasy; strong match on opensearch, pinecone; production evidence (production); actively looking, 78% response rate, 45d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0025640,24,0.7232,"5.6yr AI Research Engineer at HCL; strong match on elasticsearch, opensearch, faiss; production evidence (production); actively looking, 87% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0010541,25,0.7224,"6.2yr AI Research Engineer at Wysa; strong match on weaviate, qdrant, pinecone; production evidence (production, serving); actively looking, 59% response rate, 60d notice. Gap: lacks explicit mention of elasticsearch, map."
CAND_0092706,26,0.7177,"5.8yr AI Research Engineer at Unacademy; production evidence (production, serving); actively looking, 78% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0011327,27,0.7155,"6.3yr AI Research Engineer at Krutrim; strong match on opensearch; production evidence (production, serving); actively looking, 79% response rate, 60d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0006538,28,0.713,"5.7yr AI Specialist at Dream11; strong match on elasticsearch; production evidence (production); actively looking, 86% response rate, 60d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0049978,29,0.7105,"6.6yr Senior Software Engineer (ML) at Sarvam AI; strong match on weaviate; production evidence (production, serving); actively looking, 71% response rate, 60d notice. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0051593,30,0.7093,"3.7yr AI Specialist at Zomato; strong match on rag, faiss; production evidence (production); actively looking, 43% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0033179,31,0.7058,"6.9yr AI Research Engineer at Wipro; strong match on opensearch; production evidence (production); actively looking, 84% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0064331,32,0.7014,"4.2yr Senior Software Engineer (ML) at Swiggy; strong match on opensearch; production evidence (production); passive, 74% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0082913,33,0.7013,"5.5yr Senior Software Engineer (ML) at InMobi; strong match on elasticsearch, faiss; production evidence (production); passive, 73% response rate, 45d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0040677,34,0.6997,"4.2yr AI Research Engineer at Swiggy; strong match on elasticsearch; production evidence (production, serving); actively looking, 37% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0008239,35,0.6955,"4.0yr AI Engineer at Apple; strong match on weaviate, faiss, elasticsearch; actively looking, 73% response rate, 15d notice. Gap: lacks explicit mention of qdrant, pinecone."
CAND_0080766,36,0.687,"8.8yr Staff Machine Learning Engineer at Salesforce; strong match on elasticsearch, milvus, opensearch; production evidence (production, shipped); passive, 66% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0058412,37,0.6868,"6.6yr Senior Software Engineer (ML) at InMobi; strong match on rag, milvus; production evidence (production); passive, 43% response rate, 60d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0058688,38,0.6864,"6.7yr AI Engineer at Vedantu; strong match on a/b test, milvus; production evidence (production, serving); actively looking, 74% response rate, 15d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0046132,39,0.6829,"4.3yr AI Research Engineer at Verloop.io; production evidence (production); actively looking, 94% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0046064,40,0.6769,"8.9yr Senior NLP Engineer at Salesforce; strong match on elasticsearch, pinecone, opensearch; production evidence (deployed, serving); actively looking, 78% response rate, 30d notice."
CAND_0024620,41,0.6712,"5.9yr AI Engineer at PharmEasy; strong match on elasticsearch; production evidence (production); actively looking, 41% response rate, 45d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0014858,42,0.6628,"4.9yr AI Research Engineer at Aganitha; strong match on faiss; production evidence (production); actively looking, 30% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0073007,43,0.6556,"5.8yr AI Specialist at Aganitha; strong match on faiss, milvus; production evidence (production); actively looking, 83% response rate, 60d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0028527,44,0.6512,"5.4yr AI Specialist at Tech Mahindra; strong match on qdrant; production evidence (production, serving); actively looking, 90% response rate. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0055960,45,0.6479,"4.9yr AI Specialist at Dream11; strong match on qdrant; production evidence (production); actively looking, 89% response rate. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0041348,46,0.6438,"3.0yr AI Research Engineer at Zoho; production evidence (production, serving); actively looking, 31% response rate, 45d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0016267,47,0.6422,"3.6yr AI Specialist at Freshworks; strong match on opensearch; production evidence (production); actively looking, 67% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0007460,48,0.642,"4.7yr AI Engineer at Salesforce; strong match on weaviate, rag; actively looking, 48% response rate. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0092278,49,0.6407,"6.8yr Senior NLP Engineer at Microsoft; strong match on elasticsearch, milvus, a/b test; production evidence (production, shipped); passive, 7% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0078508,50,0.6364,"5.2yr AI Research Engineer at Rephrase.ai; strong match on weaviate; production evidence (production); passive, 34% response rate, 30d notice. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0008425,51,0.6306,"7.8yr Senior NLP Engineer at Ola; strong match on qdrant, pinecone, a/b test; production evidence (deployed, serving); actively looking, 66% response rate. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0045862,52,0.6305,"6.7yr AI Specialist at Yellow.ai; production evidence (production, serving); actively looking, 54% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0001218,53,0.628,"6.4yr AI Specialist at Nykaa; strong match on opensearch, rag; production evidence (production); actively looking, 82% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0063585,54,0.6251,"3.1yr AI Research Engineer at Observe.AI; strong match on qdrant; production evidence (production); actively looking, 34% response rate. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0080534,55,0.6221,"3.8yr ML Engineer at Genpact AI; strong match on elasticsearch, opensearch; production evidence (production); actively looking, 91% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0039308,56,0.6164,"5.6yr AI Research Engineer at BYJU'S; strong match on opensearch; production evidence (production); passive, 36% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0065786,57,0.615,"4.9yr AI Specialist at Swiggy; strong match on qdrant, pinecone; production evidence (production); actively looking, 89% response rate, 45d notice. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0052328,58,0.6147,"6.5yr Recommendation Systems Engineer at Amazon; strong match on opensearch, rag, pinecone; production evidence (production); actively looking, 79% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0062772,59,0.6086,"6.6yr Senior Software Engineer (ML) at Vedantu; strong match on elasticsearch, milvus; production evidence (production, serving); passive, 86% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0055905,60,0.6071,"8.1yr Senior Machine Learning Engineer at Flipkart; strong match on elasticsearch, opensearch, ndcg; production evidence (deployed, serving); actively looking, 87% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0093185,61,0.6055,"4.1yr AI Research Engineer at Dream11; production evidence (production); passive, 60% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0011687,62,0.6048,"7.8yr Senior NLP Engineer at Niramai; strong match on weaviate, pinecone, opensearch; production evidence (deployed); actively looking, 89% response rate, 15d notice. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0061257,63,0.604,"8.0yr Staff Machine Learning Engineer at LinkedIn; production evidence (production); actively looking, 87% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0059795,64,0.6013,"5.6yr Senior Software Engineer (ML) at Locobuzz; strong match on xgboost; production evidence (production, serving); actively looking, 75% response rate, 45d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0016170,65,0.5998,"6.8yr AI Research Engineer at Dream11; strong match on rag; production evidence (production); actively looking, 52% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0081852,66,0.5943,"5.9yr Senior Data Scientist at Mad Street Den; strong match on weaviate, rag, pinecone; production evidence (production); actively looking, 44% response rate, 45d notice. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0049538,67,0.5919,"5.8yr Applied ML Engineer at Saarthi.ai; strong match on elasticsearch, opensearch, milvus; production evidence (production); passive, 72% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0095528,68,0.5908,"5.3yr Senior Data Scientist at Netflix; strong match on elasticsearch, qdrant, opensearch; production evidence (production, serving); actively looking, 55% response rate, 45d notice. Gap: lacks explicit mention of weaviate, pinecone."
CAND_0093912,69,0.5905,"5.3yr Senior Data Scientist at Razorpay; strong match on elasticsearch, faiss, milvus; actively looking, 66% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0060054,70,0.5903,"6.4yr AI Engineer at Mad Street Den; strong match on weaviate, elasticsearch, a/b test; production evidence (shipped, serving); passive, 86% response rate, 15d notice. Gap: lacks explicit mention of qdrant, pinecone."
CAND_0094685,71,0.5797,"3.5yr AI Research Engineer at Krutrim; strong match on weaviate, xgboost; production evidence (production); actively looking, 68% response rate, 45d notice. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0053591,72,0.5785,"5.3yr AI Engineer at Ola; strong match on qdrant, pinecone, milvus; production evidence (shipped); actively looking, 81% response rate, 60d notice. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0067643,73,0.5729,"6.0yr AI Research Engineer at PhonePe; strong match on elasticsearch, qdrant; production evidence (production); passive, 49% response rate, 60d notice. Gap: lacks explicit mention of weaviate, pinecone."
CAND_0043958,74,0.5697,"6.7yr AI Research Engineer at Dream11; strong match on faiss; production evidence (production, serving); passive, 67% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0098952,75,0.5692,"5.5yr AI Research Engineer at CRED; strong match on opensearch; production evidence (production); actively looking, 66% response rate, 45d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0051219,76,0.5681,"3.8yr AI Research Engineer at Observe.AI; strong match on qdrant, pinecone; production evidence (production); actively looking, 58% response rate. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0004402,77,0.5638,"6.0yr AI Research Engineer at Yellow.ai; strong match on qdrant, opensearch; production evidence (production); actively looking, 83% response rate, 60d notice. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0029135,78,0.5631,"5.8yr AI Specialist at Meesho; strong match on weaviate, faiss; production evidence (production, serving); actively looking, 69% response rate, 60d notice. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0014715,79,0.5621,"4.2yr AI Specialist at Saarthi.ai; production evidence (production); actively looking, 27% response rate, 45d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0013665,80,0.5595,"5.2yr Senior Software Engineer (ML) at InMobi; strong match on qdrant; production evidence (production, serving); passive, 73% response rate, 30d notice. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0041669,81,0.5592,"Marginal fit included as filler: 8.0yr Recommendation Systems Engineer at CRED; strong match on weaviate, qdrant, pinecone; production evidence (serving); actively looking, 77% response rate, 60d notice. Gap: lacks explicit mention of elasticsearch, map."
CAND_0051486,82,0.5588,"Marginal fit included as filler: 5.9yr AI Specialist at Aganitha; strong match on qdrant, pinecone; production evidence (production); actively looking, 60% response rate. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0002120,83,0.5586,"Marginal fit included as filler: 6.5yr ML Engineer at HCL; strong match on qdrant, rag, pinecone; production evidence (production); actively looking, 72% response rate, 45d notice. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0041568,84,0.5564,"Marginal fit included as filler: 5.2yr Search Engineer at Haptik; strong match on weaviate, qdrant, pinecone; production evidence (serving); actively looking, 52% response rate. Gap: lacks explicit mention of elasticsearch, map."
CAND_0006833,85,0.554,"Marginal fit included as filler: 5.7yr AI Research Engineer at Mad Street Den; strong match on xgboost; production evidence (production, serving); passive, 26% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0050707,86,0.5539,"Marginal fit included as filler: 5.3yr AI Specialist at Paytm; strong match on rag; production evidence (production); passive, 57% response rate, 60d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0021827,87,0.5523,"Marginal fit included as filler: 4.4yr AI Research Engineer at Unacademy; strong match on weaviate, xgboost, elasticsearch; production evidence (production); actively looking, 36% response rate. Gap: lacks explicit mention of qdrant, pinecone."
CAND_0061265,88,0.5523,"Marginal fit included as filler: 6.6yr Recommendation Systems Engineer at Zoho; strong match on elasticsearch, qdrant, faiss; production evidence (production); actively looking, 94% response rate. Gap: lacks explicit mention of weaviate, pinecone."
CAND_0049771,89,0.5522,"Marginal fit included as filler: 5.0yr AI Research Engineer at Wysa; strong match on pinecone; production evidence (production); passive, 81% response rate, 60d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0009516,90,0.551,"Marginal fit included as filler: 6.9yr AI Specialist at Verloop.io; strong match on rag, pinecone; production evidence (production); passive, 34% response rate, 30d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0066035,91,0.5489,"Marginal fit included as filler: 6.7yr Data Scientist at Razorpay; strong match on weaviate; production evidence (production, serving); actively looking, 34% response rate, 45d notice. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0082489,92,0.5489,"Marginal fit included as filler: 5.3yr ML Engineer at InMobi; strong match on weaviate, rag; production evidence (production, serving); passive, 71% response rate. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0070525,93,0.5446,"Marginal fit included as filler: 5.4yr Senior Software Engineer (ML) at Mad Street Den; production evidence (production); actively looking, 93% response rate, 45d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0005649,94,0.5432,"Marginal fit included as filler: 7.4yr Senior Data Scientist at Sarvam AI; strong match on weaviate, elasticsearch, pinecone; production evidence (production, shipped); actively looking, 57% response rate. Gap: lacks explicit mention of qdrant, map."
CAND_0035764,95,0.537,"Marginal fit included as filler: 6.8yr Senior Software Engineer (ML) at Zomato; strong match on weaviate, elasticsearch; production evidence (production, serving); actively looking, 38% response rate. Gap: lacks explicit mention of qdrant, pinecone."
CAND_0097896,96,0.5362,"Marginal fit included as filler: 4.8yr AI Research Engineer at upGrad; strong match on qdrant, milvus; production evidence (production); passive, 65% response rate. Gap: lacks explicit mention of weaviate, elasticsearch."
CAND_0018925,97,0.5345,"Marginal fit included as filler: 5.8yr AI Research Engineer at Rephrase.ai; strong match on elasticsearch; production evidence (production); actively looking, 45% response rate. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0007411,98,0.5332,"Marginal fit included as filler: 8.0yr Senior Machine Learning Engineer at Amazon; strong match on a/b test, opensearch, pinecone; production evidence (deployed); passive, 12% response rate, 15d notice. Gap: lacks explicit mention of weaviate, qdrant."
CAND_0060257,99,0.5326,"Marginal fit included as filler: 5.8yr AI Specialist at Paytm; strong match on weaviate, opensearch, xgboost; production evidence (production); actively looking, 57% response rate, 60d notice. Gap: lacks explicit mention of elasticsearch, qdrant."
CAND_0088025,100,0.5309,"Marginal fit included as filler: 8.6yr Staff Machine Learning Engineer at Yellow.ai; strong match on elasticsearch, pinecone, a/b test; actively looking, 83% response rate. Gap: lacks explicit mention of weaviate, qdrant."
